school,address,absences,Mjob,Fjob,G3
GP,U,6,teacher,teacher,19
GP,R,0,services,other,10
GP,U,6,at_home,other,13
GP,U,10,teacher,other,19
GP,R,8,health,services,9
GP,U,2,teacher,teacher,16
GP,U,2,other,teacher,14
GP,U,0,other,services,13
GP,R,20,other,other,8
GP,U,6,other,other,13
GP,U,2,at_home,services,15
GP,U,6,services,services,15
GP,U,2,other,health,13
GP,U,18,health,other,13
GP,U,0,other,other,8
GP,U,0,services,services,12
GP,U,0,other,other,11
GP,U,2,at_home,other,9
GP,R,0,services,other,0
GP,R,8,teacher,teacher,18
GP,R,0,services,teacher,0
GP,U,0,at_home,other,0
GP,U,12,other,other,12
GP,U,16,services,other,11
GP,R,0,at_home,teacher,0
GP,U,0,services,at_home,0
GP,R,0,at_home,other,0
GP,U,0,other,other,0
GP,U,0,services,other,12
GP,U,0,teacher,teacher,15
GP,U,0,teacher,services,0
GP,U,8,services,services,9
GP,U,2,teacher,services,11
GP,U,2,at_home,at_home,13
GP,U,0,other,other,0
GP,U,0,other,services,11
GP,U,0,health,services,0
GP,U,2,at_home,other,11
GP,U,0,teacher,teacher,0
GP,U,0,services,other,10
GP,U,0,other,other,0
GP,U,6,at_home,other,14
GP,R,8,services,services,10
GP,U,0,services,at_home,0
GP,U,0,other,teacher,12
GP,R,2,at_home,services,8
GP,R,8,other,other,13
GP,R,6,at_home,other,10
GP,R,2,at_home,other,15
GP,U,4,other,services,12
GP,R,0,at_home,other,0
GP,R,6,other,other,7
GP,U,0,other,other,0
GP,U,2,at_home,services,10
GP,R,0,other,services,7
GP,U,16,services,services,12
GP,U,4,other,other,10
GP,U,0,health,services,16
GP,U,0,other,other,0
GP,U,0,health,health,14
GP,U,0,other,other,0
GP,U,2,other,other,16
GP,U,0,teacher,other,10
GP,U,0,at_home,services,0
GP,U,4,other,other,9
GP,U,4,teacher,other,9
GP,U,2,services,other,11
GP,U,4,other,other,6
GP,R,10,teacher,services,9
GP,U,4,other,other,11
GP,U,10,teacher,other,8
GP,U,2,services,other,12
GP,U,0,services,services,17
GP,U,56,other,other,8
GP,U,14,other,other,12
GP,U,12,services,services,11
GP,U,2,services,services,11
GP,U,0,other,other,15
GP,U,6,health,other,9
GP,R,4,at_home,other,10
GP,U,10,services,services,13
GP,U,0,at_home,services,9
GP,U,12,at_home,services,8
GP,R,8,services,services,10
GP,U,0,other,other,14
GP,U,0,services,services,15
GP,U,4,services,teacher,16
GP,R,8,teacher,other,10
GP,U,24,services,teacher,18
GP,U,0,teacher,teacher,10
GP,U,2,health,other,16
GP,U,6,other,other,10
GP,U,4,other,other,10
GP,R,18,other,other,6
GP,R,6,services,services,11
GP,U,28,at_home,services,9
GP,U,5,services,other,7
GP,U,10,teacher,other,13
GP,U,6,at_home,other,10
GP,R,6,teacher,other,7
GP,U,10,other,other,8
GP,U,13,services,other,13
GP,U,0,other,other,14
GP,U,15,services,other,8
GP,R,12,services,other,10
GP,U,2,other,other,15
GP,U,22,other,other,4
GP,U,13,services,health,8
GP,U,3,at_home,other,8
GP,U,4,at_home,at_home,10
GP,R,2,at_home,services,6
GP,U,0,at_home,other,0
GP,U,2,services,teacher,17
GP,U,0,other,other,13
GP,U,0,teacher,services,14
GP,R,16,other,other,7
GP,U,10,other,other,15
GP,U,2,services,services,12
GP,U,14,at_home,other,9
GP,U,10,other,other,12
GP,U,14,health,other,14
GP,R,4,other,other,11
GP,U,14,teacher,teacher,9
GP,U,2,health,other,13
GP,U,18,other,other,6
GP,U,10,at_home,other,10
GP,U,4,other,other,13
GP,U,20,other,other,12
GP,R,2,at_home,services,11
GP,U,0,other,services,0
GP,U,14,health,other,12
GP,R,2,teacher,other,12
GP,U,0,teacher,other,0
GP,U,0,services,services,12
GP,U,0,other,other,0
GP,U,6,other,other,18
GP,U,4,other,other,13
GP,U,16,services,services,8
GP,R,8,other,services,5
GP,U,0,other,other,15
GP,U,0,services,other,8
GP,U,6,at_home,other,10
GP,U,4,services,services,8
GP,R,0,other,other,8
GP,R,0,other,other,12
GP,U,2,health,other,8
GP,U,6,teacher,services,13
GP,U,12,services,at_home,11
GP,U,8,other,other,14
GP,U,0,services,services,0
GP,U,21,services,other,18
GP,U,2,teacher,other,8
GP,R,1,other,other,12
GP,U,4,other,other,9
GP,U,0,at_home,services,0
GP,R,13,other,other,17
GP,U,2,services,other,10
GP,R,8,teacher,other,11
GP,U,10,health,other,10
GP,R,0,other,other,0
GP,U,15,other,services,9
GP,U,4,other,services,14
GP,U,2,other,other,11
GP,R,2,at_home,at_home,14
GP,U,2,at_home,health,10
GP,U,6,services,other,12
GP,R,75,other,services,9
GP,U,22,teacher,services,9
GP,U,15,health,health,8
GP,U,8,teacher,services,10
GP,U,30,services,other,8
GP,U,19,teacher,services,10
GP,R,1,at_home,other,12
GP,U,4,other,other,10
GP,U,4,other,other,11
GP,U,2,other,other,11
GP,U,5,at_home,at_home,19
GP,U,6,services,teacher,12
GP,U,6,services,services,14
GP,U,9,teacher,teacher,15
GP,U,11,teacher,other,11
GP,U,0,health,services,15
GP,U,12,services,at_home,13
GP,R,6,services,other,18
GP,R,8,services,other,14
GP,U,4,health,other,11
GP,U,0,health,other,0
GP,U,10,other,other,8
GP,U,0,other,other,14
GP,U,5,teacher,teacher,16
GP,U,14,health,other,11
GP,U,0,other,teacher,10
GP,U,0,other,other,14
GP,U,0,health,health,18
GP,U,20,other,other,13
GP,U,8,services,at_home,12
GP,U,0,services,other,18
GP,U,38,teacher,services,8
GP,R,0,other,services,12
GP,U,18,at_home,other,10
GP,U,0,services,services,0
GP,U,20,at_home,other,13
GP,U,3,other,services,11
GP,U,22,services,other,11
GP,U,14,at_home,health,13
GP,R,40,other,other,11
GP,U,0,services,other,0
GP,U,9,other,other,9
GP,R,0,at_home,services,10
GP,U,2,teacher,other,11
GP,U,23,services,services,13
GP,U,12,other,other,9
GP,R,3,services,services,11
GP,U,1,services,services,15
GP,U,0,at_home,at_home,15
GP,U,3,other,other,11
GP,U,3,other,services,16
GP,R,8,services,other,10
GP,U,7,teacher,services,9
GP,U,4,teacher,teacher,14
GP,U,2,other,other,8
GP,R,7,at_home,other,14
GP,U,0,services,services,0
GP,U,0,other,other,0
GP,R,0,at_home,other,0
GP,U,16,services,other,15
GP,R,12,services,at_home,13
GP,U,0,other,other,0
GP,U,7,services,services,17
GP,R,4,other,other,10
GP,U,4,services,services,11
GP,U,0,teacher,services,0
GP,U,11,services,other,15
GP,U,0,at_home,at_home,0
GP,U,4,at_home,other,10
GP,U,7,other,services,14
GP,R,9,teacher,services,16
GP,U,0,teacher,other,9
GP,U,0,health,other,15
MS,R,10,other,other,13
MS,R,8,other,services,8
MS,U,2,health,other,13
MS,U,7,at_home,services,8
MS,R,4,other,other,8
MS,R,4,services,other,11
MS,U,0,services,services,9
MS,R,4,teacher,services,13
MS,U,2,services,other,11
MS,U,4,other,services,10
MS,U,0,at_home,services,16
MS,R,0,at_home,other,13
MS,R,2,at_home,other,12
MS,U,0,services,services,10
MS,U,0,at_home,at_home,15
MS,R,0,other,services,12
MS,R,4,at_home,other,10
MS,U,0,teacher,services,13
MS,R,0,other,services,0
MS,U,0,at_home,services,10
MS,R,10,other,teacher,11
MS,U,4,services,services,9
MS,R,3,at_home,services,12
MS,U,8,other,at_home,11
MS,R,14,other,other,5
MS,R,0,other,other,19
MS,R,2,other,other,10
MS,U,4,health,other,15
MS,R,4,teacher,services,10
MS,U,0,other,other,15
MS,R,17,at_home,other,10
MS,U,4,teacher,teacher,14
MS,R,5,other,other,7
MS,U,2,other,services,10
MS,R,0,other,services,0
MS,R,14,other,other,5
MS,R,2,at_home,other,10
MS,R,7,teacher,at_home,6
MS,R,0,services,other,0
MS,U,0,teacher,services,8
MS,U,0,other,other,0
MS,U,11,services,services,9
MS,U,3,services,services,16
MS,R,3,other,other,7
MS,R,0,services,other,10
MS,U,5,other,at_home,9
